WINOGENDER SUMMARY:

+---------------+-----------+---------+-------------------+----------------------------+--------------------------+--------------------------+--------------+---------------------+-----------------------+
| model_version | do_filter |    stat | mean_total_effect | mean_model_indirect_effect | mean_model_direct_effect | mean_sum_indirect_effect | prop_aligned | num_examples_loaded | num_examples_analyzed |
+---------------+-----------+---------+-------------------+----------------------------+--------------------------+--------------------------+--------------+---------------------+-----------------------+
|    distilgpt2 |      True | bergsma |             0.075 |                      0.013 |                    0.064 |                    0.013 |        0.545 |                  44 |                    18 |
|    distilgpt2 |      True |     bls |             0.081 |                      0.010 |                    0.070 |                    0.010 |        0.477 |                  44 |                    15 |
|          gpt2 |      True | bergsma |             0.135 |                      0.075 |                    0.062 |                    0.084 |        0.614 |                  44 |                    20 |
|          gpt2 |      True |     bls |             0.103 |                      0.060 |                    0.045 |                    0.070 |        0.636 |                  44 |                    21 |
|   gpt2-medium |      True | bergsma |             0.384 |                      0.291 |                    0.114 |                    0.337 |        0.818 |                  44 |                    27 |
|   gpt2-medium |      True |     bls |             0.322 |                      0.251 |                    0.095 |                    0.280 |        0.705 |                  44 |                    23 |
|    gpt2-large |      True | bergsma |             0.350 |                      0.259 |                    0.100 |                    0.316 |        0.795 |                  44 |                    26 |
|    gpt2-large |      True |     bls |             0.364 |                      0.270 |                    0.090 |                    0.358 |        0.727 |                  44 |                    24 |
|       gpt2-xl |      True | bergsma |             0.362 |                      0.269 |                    0.119 |                    0.339 |        0.795 |                  44 |                    26 |
|       gpt2-xl |      True |     bls |             0.342 |                      0.244 |                    0.117 |                    0.329 |        0.773 |                  44 |                    25 |
|   gpt2_random |      True |     bls |             0.045 |                      0.002 |                    0.038 |                    0.003 |        0.477 |                  44 |                    15 |
|    distilgpt2 |     False | bergsma |             0.011 |                      0.005 |                    0.008 |                    0.007 |              |                  44 |                    44 |
|    distilgpt2 |     False |     bls |             0.005 |                      0.001 |                    0.003 |                    0.003 |              |                  44 |                    44 |
|          gpt2 |     False | bergsma |             0.040 |                      0.031 |                    0.012 |                    0.035 |              |                  44 |                    44 |
|          gpt2 |     False |     bls |             0.020 |                      0.022 |                   -0.002 |                    0.029 |              |                  44 |                    44 |
|   gpt2-medium |     False | bergsma |             0.231 |                      0.181 |                    0.066 |                    0.216 |              |                  44 |                    44 |
|   gpt2-medium |     False |     bls |             0.128 |                      0.113 |                    0.023 |                    0.112 |              |                  44 |                    44 |
|    gpt2-large |     False | bergsma |             0.192 |                      0.139 |                    0.060 |                    0.158 |              |                  44 |                    44 |
|    gpt2-large |     False |     bls |             0.173 |                      0.134 |                    0.036 |                    0.177 |              |                  44 |                    44 |
|       gpt2-xl |     False | bergsma |             0.202 |                      0.146 |                    0.070 |                    0.169 |              |                  44 |                    44 |
|       gpt2-xl |     False |     bls |             0.168 |                      0.123 |                    0.051 |                    0.160 |              |                  44 |                    44 |
+---------------+-----------+---------+-------------------+----------------------------+--------------------------+--------------------------+--------------+---------------------+-----------------------+
